slang,formal
abis,habis
aja,saja
bgus,bagus
biar,supaya
d,di
dah,sudah
dg,dengan
dlu,dulu
dpt,dapat
g,tidak
ga,tidak
gak,tidak
gimana,bagaimana
gini,begini
gitu,begitu
gk,tidak
gw,saya
kalo,kalau
karna,karena
kasi,beri
kdg,kadang
kek,seperti
klo,kalau
lg,lagi
lumyan,lumayan
mantul,bagus
masi,masih
msh,masih
ngasih,memberi
ni,ini
ok,baik
oks,baik
pake,pakai
pdhll,padahal
prnh,pernah
sdh,sudah
smntra,sementara
smpai,sampai
sngt,sangat
sy,saya
tdk,tidak
tgl,tanggal
tlng,tolong
tp,tapi
tpi,tapi
trus,terus
uda,sudah
udah,sudah
udh,sudah
yg,yang
